model,lab,valence,answered,model_refused,api_blocked,dropped
claude-haiku-4.5,Anthropic,capability,2156,507,0,37
claude-haiku-4.5,Anthropic,safety,147,2471,0,82
claude-sonnet-4.5,Anthropic,capability,2464,221,15,0
claude-sonnet-4.5,Anthropic,safety,332,2292,60,16
deepseek-v4-pro,DeepSeek,capability,2721,1,0,0
deepseek-v4-pro,DeepSeek,safety,1473,1162,11,0
gemini-3.1-pro,Google,capability,2638,25,0,10
gemini-3.1-pro,Google,safety,598,2034,19,22
gemini-3.5-flash,Google,capability,2586,12,64,38
gemini-3.5-flash,Google,safety,1111,1471,15,103
glm-5.3,Z.ai,capability,2722,28,0,0
glm-5.3,Z.ai,safety,848,1927,0,25
gpt-5,OpenAI,capability,2700,0,0,0
gpt-5,OpenAI,safety,1570,1113,0,17
gpt-5.1,OpenAI,capability,2700,0,0,0
gpt-5.1,OpenAI,safety,1627,1053,0,20
gpt-5.2,OpenAI,capability,2658,0,0,42
gpt-5.2,OpenAI,safety,1753,847,0,100
gpt-5.4,OpenAI,capability,2696,4,0,0
gpt-5.4,OpenAI,safety,1606,1069,0,25
gpt-5.6-sol,OpenAI,capability,2700,0,0,0
gpt-5.6-sol,OpenAI,safety,1626,1002,56,16
kimi-k3,Moonshot,capability,2723,22,0,0
kimi-k3,Moonshot,safety,979,1791,0,20
minimax-m3,MiniMax,capability,2702,48,0,0
minimax-m3,MiniMax,safety,665,2112,0,23
qwen3.8-2.4t,Alibaba,capability,2674,76,0,0
qwen3.8-2.4t,Alibaba,safety,627,2158,0,15
